 country ,year, pop , gdp , gdp_per_cap , gdp_per_cap_sq , im , im_millions , ex , IM + EX , ex_millions , nx_gdp , lndarea , lndarea_per_cap , co2_millions_tonnes , n2o_millions_tonnes , so2_millions_tonnes , co2 , n2o , so2 , co2_per_cap ,ocean,democ,autoc,polity
 Afghanistan ,2011,"29,249,157.00","51,184,181,904.43","1,749.94","3,062,279.49","6,515,000,000.00","6,515.00","376,000,000.00","6,891,000,000.00",376,0.13,652230.00,0.022299,11.84,4.68,7.34,"11,838,000.00","4,680,000.00","7,335,000.00",0.4,0,-66,-66,-66
 Afghanistan ,2012,"30,466,479.00","59,667,003,515.20","1,958.45","3,835,517.11","9,069,000,000.00","9,069.00","429,000,000.00","9,498,000,000.00",429,0.16,652230.00,0.021408,10.04,4.72,6.57,"10,035,000.00","4,720,000.00","6,573,000.00",0.33,0,-66,-66,-66
 Afghanistan ,2013,"31,541,209.00","65,039,839,448.56","2,062.06","4,252,088.05","8,554,000,000.00","8,554.00","515,000,000.00","9,069,000,000.00",515,0.14,652230.00,0.020679,9.25,4.77,5.59,"9,251,000.00","4,770,000.00","5,591,000.00",0.29,0,-66,-66,-66
 Afghanistan ,2014,"32,716,210.00","69,058,343,420.16","2,110.83","4,455,601.47","7,729,000,000.00","7,729.00","570,000,000.00","8,299,000,000.00",570,0.12,652230.00,0.019936,9.17,5.09,5.17,"9,170,000.00","5,090,000.00","5,165,000.00",0.28,0,1,2,-1
 Afghanistan ,2015,"33,753,499.00","71,831,696,727.81","2,128.13","4,528,920.01","7,723,000,000.00","7,723.00","571,000,000.00","8,294,000,000.00",571,0.12,652230.00,0.019323,9.79,4.62,6.63,"9,791,000.00","4,620,000.00","6,625,000.00",0.29,0,1,2,-1
 Afghanistan ,2016,"34,636,207.00","70,097,956,089.29","2,023.83","4,095,906.72","6,534,000,000.00","6,534.00","596,000,000.00","7,130,000,000.00",596,0.1,652230.00,0.018831,9.07,5.05,5.79,"9,068,000.00","5,050,000.00","5,794,000.00",0.26,0,1,2,-1
 Afghanistan ,2017,"35,643,418.00","74,711,922,906.37","2,096.09","4,393,606.33","7,065,000,000.00","7,065.00","723,000,000.00","7,788,000,000.00",723,0.1,652230.00,0.018299,9.87,5.27,6.08,"9,868,000.00","5,270,000.00","6,075,000.00",0.28,0,1,2,-1
 Afghanistan ,2018,"36,686,784.00","77,406,520,332.62","2,109.93","4,451,801.63","7,407,000,000.00","7,407.00","875,000,000.00","8,282,000,000.00",875,0.11,652230.00,0.017778,10.82,4.69,6.62,"10,818,000.00","4,690,000.00","6,621,000.00",0.29,0,1,2,-1
 Afghanistan ,2019,"37,769,499.00","81,873,098,235.49","2,167.70","4,698,941.11","6,777,000,000.00","6,777.00","864,000,000.00","7,641,000,000.00",864,0.09,652230.00,0.017269,11.08,5.01,6.84,"11,082,000.00","5,010,000.00","6,843,000.00",0.29,0,1,2,-1
 Afghanistan ,2020,"38,972,230.00","80,911,742,458.69","2,076.14","4,310,350.57","6,538,000,000.00","6,538.00","777,000,000.00","7,315,000,000.00",777,0.09,652230.00,0.016736,11.68,5.01,7.22,"11,682,000.00","5,010,000.00","7,220,000.00",0.3,0,1,2,-1
